"","iso2c","country","NY.GDP.PCAP.KD","year"
"1","CN","China",7329.08929913216,2017
"2","CN","China",6894.46452231334,2016
"3","CN","China",6496.62401255517,2015
"4","CN","China",6108.23877494863,2014
"5","CN","China",5721.69381888796,2013
"6","CN","China",5336.06014319861,2012
"7","CN","China",4971.544928635,2011
"8","CN","China",4560.51258600929,2010
"9","CN","China",4142.03828597868,2009
"10","CN","China",3805.02599866378,2008
"11","CN","China",3487.84576561013,2007
"12","CN","China",3069.30478095137,2006
"13","CN","China",2738.2054599526,2005
"14","CN","China",2472.58655569402,2004
"15","CN","China",2258.91210541049,2003
"16","CN","China",2065.71857925612,2002
"17","CN","China",1905.61078010947,2001
"18","CN","China",1771.74150579539,2000
"19","CN","China",1645.98799567879,1999
"20","CN","China",1542.06412996664,1998
"21","CN","China",1443.77474185404,1997
"22","CN","China",1335.36268011202,1996
"23","CN","China",1227.55640691521,1995
"24","CN","China",1118.49957748173,1994
"25","CN","China",1000.61180975351,1993
"26","CN","China",888.911004119008,1992
"27","CN","China",787.867435156269,1991
"28","CN","China",730.772489044822,1990
"29","CN","China",713.689527590362,1989
"30","CN","China",695.599054411093,1988
"31","CN","China",635.494603029004,1987
"32","CN","China",578.184040366224,1986
"33","CN","China",538.690827266253,1985
"34","CN","China",481.364595759347,1984
"35","CN","China",423.593498767967,1983
"36","CN","China",387.745580908334,1982
"37","CN","China",361.224710649125,1981
"38","CN","China",347.887413035502,1980
"39","CN","China",326.768369193998,1979
"40","CN","China",307.76619470515,1978
"41","CN","China",279.32454675135,1977
"42","CN","China",263.23062210942,1976
"43","CN","China",271.599476492383,1975
"44","CN","China",254.267484665894,1974
"45","CN","China",253.714372960062,1973
"46","CN","China",240.881888917967,1972
"47","CN","China",237.813838393538,1971
"48","CN","China",228.317702823625,1970
